Date,Open,High,Low,Close,Volume
1/3/2000,36.04179559,36.42562728,34.39131933,35.79230499,53228400
1/4/2000,34.87110278,35.9650229,34.46807958,34.58322907,54119000
1/5/2000,34.12265273,35.73474656,33.58528812,34.94789124,64059600
1/6/2000,34.44891223,34.96708528,33.27822496,33.77720642,54976600
1/7/2000,33.35495746,34.46806881,32.95193438,34.21857834,62013600
1/10/2000,34.83273792,34.90950428,34.19941541,34.46809769,44963600
1/11/2000,34.23779541,35.08222534,33.37417389,33.58528137,46743600
1/12/2000,33.31658629,33.43173578,32.06913346,32.49134827,66532400
1/13/2000,32.04996161,33.35498999,31.1671483,33.10549927,83144000
1/14/2000,32.9135788,34.98627065,32.47217221,34.46809769,73416400
1/18/2000,34.33373782,35.77310637,34.31454624,35.40846634,81483600
1/19/2000,33.93071611,34.23778142,32.54892225,32.85598755,97568200
1/20/2000,32.8751881,33.68123474,32.51054795,32.54893112,56349800
1/21/2000,32.85600845,32.93277483,31.70451283,31.85804558,68416200
1/24/2000,31.87242342,32.45296884,30.95602527,31.09036636,63597600
1/25/2000,31.01361514,31.89642845,30.57220849,31.57017136,59823200
1/26/2000,31.45500748,31.78126442,30.43785349,30.51461983,49365000
1/27/2000,30.67294881,31.07117418,29.8621044,30.32270241,63654800
1/28/2000,30.13079293,30.78330691,29.8621107,30.1691761,58225400
1/31/2000,29.9772555,30.14997976,29.13282576,30.05402184,73194200
2/1/2000,30.24594986,31.7045109,29.99645916,31.60855293,70196600
2/2/2000,31.4550034,31.91560138,30.86006435,30.95602226,49915600
2/3/2000,31.33984971,31.99236342,30.74491074,31.81963921,49186000
2/4/2000,32.04994003,33.16305172,31.9779716,32.72164536,55365400
2/7/2000,32.79841566,32.81760725,32.01156075,32.74084091,40005800
2/8/2000,32.68326692,33.77718719,32.68326692,33.75799561,56229000
2/9/2000,33.60446517,33.60446517,31.89641412,31.93479729,55090000
2/10/2000,31.90121507,32.7216554,31.47420226,32.54893112,54527800
2/11/2000,32.20348478,32.20348478,30.43785868,30.68734932,115559000
2/14/2000,31.08556236,31.2438929,30.41865494,30.59137917,81028600
2/15/2000,30.62977499,30.70654134,30.13079369,30.26513481,71027600
2/16/2000,30.47625545,30.7641294,29.82374117,29.97727394,65202600
2/17/2000,30.24593072,30.61057075,29.82851385,30.59137917,80343400
2/18/2000,30.70652226,30.72571384,29.132813,29.19038773,79063000
2/22/2000,29.20959529,29.82372607,28.49950657,28.80657196,66296200
2/23/2000,28.71062267,29.40152001,28.26921604,28.94092178,75847200
2/24/2000,28.9409002,29.43988124,28.25000338,29.09443283,69733200
2/25/2000,29.07525764,29.08005553,27.78942116,28.03891182,65301400
2/28/2000,27.71264789,28.28839542,27.06013402,28.11567116,76131800
2/29/2000,28.17324025,28.17324025,27.29042755,27.44396019,58437400
3/1/2000,27.52074147,28.89294023,27.30963397,27.8853817,106889800
3/2/2000,28.19243261,29.28635273,27.98132522,28.67222214,106932600
3/3/2000,29.09444578,30.36109052,28.82576356,29.51666069,101435200
3/6/2000,29.47827519,29.90049007,27.67426616,27.82779884,93609400
3/7/2000,29.51665827,29.93887315,28.23082205,28.51869583,135061000
3/8/2000,28.80656686,29.53584703,27.9429456,29.3439312,94290000
3/9/2000,29.26716831,30.70653725,29.17121038,30.70653725,88198800
3/10/2000,30.57218545,31.47418966,30.55299387,31.01359177,85589000
3/13/2000,29.97725771,30.78330433,29.93887454,30.09240723,61831800
3/14/2000,30.2843216,30.47623745,29.20959282,29.20959282,73489200
3/15/2000,29.03687296,29.67019537,28.76819072,29.2863636,53208000
